
Like the previous games, Pokémon Black & White have dozens of Technical Machines and Hidden Machines for you to use. However, unlike past games, the TMs of Unova do not disappear after use and can be used time and time again at no extra cost. This means that all of the TMs can only be found once within the game which can make some of them very hard to find..

No.	Move Name	Type	Kind	Att.	Acc.	PP	Effect	Location
TM01	Hone Claws			--	--	15	It sharpens its claws. Increases your Accuracy and Attack.	Freezer Container - Gift from Sage
TM02	Dragon Claw			80	100	15	Slashes the foe with sharp claws.	Victory Road
TM03	Psyshock			80	100	10	It makes its mysterious brain waves real and attacks the opponents. It deals Physical damage.	Giant Chasm
TM04	Calm Mind			--	--	20	Raises SP. ATK and SP. DEF by focusing the mind.	Relic Castle - Gift from Sage
TM05	Roar			--	100	20	Makes the foe flee to end the battle.	Route 10
TM06	Toxic			--	90	10	Poisons the foe with an intensifying toxin.	Route 17
TM07	Hail			--	--	10	Summons a hailstorm that strikes every turn.	Mistralton PokéMart - 50,000 PokéDollars
TM08	Bulk Up			--	--	20	Bulks up the body to boost both ATTACK and DEFENSE.	Route 14- Gift from Sage
TM09	Venoshock			65	100	10	It hurls a special poison. Its power doubles if it hits an opponent with Poison status.	Route 15 - Gift
TM10	Hidden Power			??	100	15	The effectiveness varies with the user.	Nuvema Town - Professor Juniper after seeing 100 Pokémon
TM11	Sunny Day			--	--	5	Boosts the power of FIRE- type moves for 5 turns.	Mistralton PokéMart - 50,000 PokéDollars
TM12	Taunt			--	100	20	Taunts the foe into only using attack moves.	Victory Road
TM13	Ice Beam			95	100	10	Blasts the foe with an icy beam that may freeze it.	Giant Chasm
TM14	Blizzard			120	70	5	Hits the foe with an icy storm that may freeze it.	Icirrus City PokéMart 70,000 PokéDollars
TM15	Hyper Beam			150	90	5	Powerful, but leaves the user immobile the next turn.	Route 9 Department Store - 90,000 PokéDollars
TM16	Light Screen			--	--	30	Creates a wall of light that lowers SP. ATK damage.	Nimbasa City PokéMart - 30,000 Yen
TM17	Protect			--	--	10	Evades attack, but may fail if used in succession.	Nuvema Town - Professor Juniper after seeing 60 Pokémon
TM18	Rain Dance			--	--	5	Boosts the power of WATER- type moves for 5 turns.	Mistralton PokéMart - 50,000 PokéDollars
TM19	Telekinesis			--	--	15	It raises the opponent in the air with its psychic abilities. Attacks hit the opponent more easily for 3 turns.	Route 18
TM20	Safeguard			--	--	25	A mystical force prevents all status problems.	Nimbasa City PokéMart - 30,000 Yen
TM21	Frustration			??	100	20	An attack that is stronger if the TRAINER is disliked.	Nimbasa City PokéMart - 10,000 Yen
TM22	Solarbeam			120	100	10	Absorbs light in one turn, then attacks next turn.	Pinwheel Forest
TM23	Smack Down			50	100	15	It attacks by throwing rocks or bullets at a flying opponent. The opponent is knocked down and falls to the ground.	Battle Subway - 36BP
TM24	Thunderbolt			95	100	15	A strong electrical attack that may paralyze the foe.	P2 Laboratory
TM25	Thunder			120	70	10	A lightning attack that may cause paralysis.	Icirrus City PokéMart - 70,000 PokéDollars
TM26	Earthquake			100	100	10	A powerful quake, but has no effect on flying foes.	Relic Castle
TM27	Return			??	100	20	An attack that increases in power with friendship.	Nimbasa City PokéMart - 10,000 PokéDollars
